# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 58K of event 'cycles:P'
# Event count (approx.): 62066647788
#
# Overhead  Command  Shared Object                                                      Symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
# ........  .......  .................................................................  .......................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................
#
     0.01%  duckdb   [kernel.kallsyms]                                                  [k] prepend_path
     0.01%  duckdb   [kernel.kallsyms]                                                  [k] _raw_spin_trylock
     0.01%  duckdb   duckdb                                                             [.] duckdb::vector<duckdb::HashAggregateGroupingGlobalState, true>::AssertIndexInBounds(unsigned long, unsigned long)
     0.01%  duckdb   duckdb                                                             [.] duckdb::RadixPartitionedTupleData::RepartitionFinalizeStates(duckdb::PartitionedTupleData&, duckdb::PartitionedTupleData&, duckdb::PartitionedTupleDataAppendState&, unsigned long) const
     0.01%  duckdb   [kernel.kallsyms]                                                  [k] __cgroup_account_cputime
     0.01%  duckdb   duckdb                                                             [.] duckdb_je_arena_cache_bin_fill_small
     0.01%  duckdb   duckdb                                                             [.] duckdb::RowGroup::CheckZonemapSegments(duckdb::CollectionScanState&)
     0.01%  duckdb   duckdb                                                             [.] duckdb::PartitionedTupleData::BuildPartitionSel(duckdb::PartitionedTupleDataAppendState&, duckdb::SelectionVector const&, unsigned long) const
     0.01%  duckdb   duckdb                                                             [.] duckdb::optional_ptr<duckdb::FileBuffer, true>::CheckValid() const [clone .isra.0]
     0.01%  duckdb   [kernel.kallsyms]                                                  [k] dequeue_entity
     0.01%  duckdb   duckdb                                                             [.] duckdb::Allocator::DefaultAllocator()
     0.01%  duckdb   duckdb                                                             [.] duckdb::PartitionedTupleData::UseFixedSizeMap() const
     0.01%  duckdb   duckdb                                                             [.] duckdb::PipelineExecutor::GoToSource(unsigned long&, unsigned long)
     0.01%  duckdb   duckdb                                                             [.] duckdb::Allocator::FreeData(unsigned char*, unsigned long)
     0.01%  duckdb   duckdb                                                             [.] duckdb_hll::get_register(duckdb_hll::robj*, unsigned long)
     0.01%  duckdb   [kernel.kallsyms]                                                  [k] finish_task_switch.isra.0
     0.01%  duckdb   duckdb                                                             [.] duckdb::StringUtil::CIHash(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
     0.01%  duckdb   duckdb                                                             [.] duckdb::ColumnData::GetVectorScanType(duckdb::ColumnScanState&, unsigned long, duckdb::Vector&)
     0.01%  duckdb   [kernel.kallsyms]                                                  [k] aa_audit_file
     0.01%  duckdb   [kernel.kallsyms]                                                  [k] vfs_read
     0.01%  duckdb   [kernel.kallsyms]                                                  [k] ftrace_trampoline
     0.01%  duckdb   [kernel.kallsyms]                                                  [k] __xas_next
     0.01%  duckdb   duckdb                                                             [.] duckdb::DataTable::Scan(duckdb::DuckTransaction&, duckdb::DataChunk&, duckdb::TableScanState&)
     0.01%  duckdb   [kernel.kallsyms]                                                  [k] vma_merge_existing_range
     0.01%  duckdb   libstdc++.so.6.0.33                                                [.] std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_dispose()
     0.01%  duckdb   [kernel.kallsyms]                                                  [k] try_to_wake_up
     0.01%  duckdb   duckdb                                                             [.] duckdb::StandardBufferManager::ConstructManagedBuffer(unsigned long, unsigned long, duckdb::unique_ptr<duckdb::FileBuffer, std::default_delete<duckdb::FileBuffer>, true>&&, duckdb::FileBufferType)
     0.01%  duckdb   [kernel.kallsyms]                                                  [k] prepare_task_switch
     0.01%  duckdb   [kernel.kallsyms]                                                  [k] get_pfnblock_flags_mask
     0.01%  duckdb   [kernel.kallsyms]                                                  [k] cpuacct_account_field
     0.01%  duckdb   duckdb                                                             [.] duckdb_je_te_recompute_fast_threshold
     0.01%  duckdb   duckdb                                                             [.] duckdb::Allocator::DefaultFree(duckdb::PrivateAllocatorData*, unsigned char*, unsigned long)
     0.01%  duckdb   [kernel.kallsyms]                                                  [k] skb_dequeue
     0.01%  duckdb   [kernel.kallsyms]                                                  [k] do_nocb_deferred_wakeup.isra.0
     0.01%  duckdb   [kernel.kallsyms]                                                  [k] __next_zones_zonelist
     0.01%  duckdb   duckdb                                                             [.] duckdb::ColumnSegment::Scan(duckdb::ColumnScanState&, unsigned long, duckdb::Vector&)
     0.01%  duckdb   [kernel.kallsyms]                                                  [k] perf_iterate_sb.constprop.0
     0.01%  duckdb   duckdb                                                             [.] duckdb::PartitionedTupleData::InitializeAppendState(duckdb::PartitionedTupleDataAppendState&, duckdb::TupleDataPinProperties) const
     0.01%  duckdb   [kernel.kallsyms]                                                  [k] __iommu_dma_unmap
     0.01%  duckdb   duckdb                                                             [.] void duckdb::ConstantVector::VerifyVectorType<bool>(duckdb::Vector const&)
     0.01%  duckdb   duckdb                                                             [.] signed char duckdb::Value::GetValueInternal<signed char>() const
     0.01%  duckdb   duckdb                                                             [.] duckdb::JemallocExtension::Free(duckdb::PrivateAllocatorData*, unsigned char*, unsigned long)
     0.01%  duckdb   duckdb                                                             [.] duckdb::FSSTStorage::StartScan(duckdb::FSSTScanState&, unsigned char*, unsigned long, unsigned long)
     0.01%  duckdb   [kernel.kallsyms]                                                  [k] select_task_rq
     0.01%  duckdb   duckdb                                                             [.] void duckdb::ConstantVector::VerifyVectorType<duckdb::string_t>(duckdb::Vector const&)
     0.01%  duckdb   duckdb                                                             [.] pac_alloc_real
     0.01%  duckdb   duckdb                                                             [.] duckdb::RowOperations::UpdateStates(duckdb::RowOperationsState&, duckdb::AggregateObject&, duckdb::Vector&, duckdb::DataChunk&, unsigned long, unsigned long)
     0.01%  duckdb   [kernel.kallsyms]                                                  [k] do_mprotect_pkey
     0.01%  duckdb   [kernel.kallsyms]                                                  [k] blk_mq_end_request_batch
     0.01%  duckdb   [kernel.kallsyms]                                                  [k] perf_pmu_nop_int
     0.01%  duckdb   [kernel.kallsyms]                                                  [k] find_vma
     0.01%  duckdb   [kernel.kallsyms]                                                  [k] rseq_get_rseq_cs
     0.01%  duckdb   [kernel.kallsyms]                                                  [k] fpregs_assert_state_consistent
     0.01%  duckdb   duckdb                                                             [.] duckdb::Executor::ExecuteTask(bool)
     0.01%  duckdb   duckdb                                                             [.] duckdb::PendingQueryResult::ExecuteInternal(duckdb::ClientContextLock&)
